Zone,goback,Num,IdTrain,NameFee,StStart,NameSt,StFinal,NameSt_L,NameStEng,NameStEng_L,Service
1,1,0,997,เร็ว,1001,กรุงเทพ,3047,บ้านพลูตาหลวง,Bangkok,Ban Plu Ta Luang,FALSE
1,1,1,1049,ธรรมดา,1001,กรุงเทพ,1007,ชุมทางบางซื่อ,Bangkok,Bang Sue Junction,TRUE
1,1,1,379,ธรรมดา,3001,มักกะสัน,3015,หัวตะเข้,Makkasan,Hua Takhe,FALSE
1,1,2,1053,ธรรมดา,1001,กรุงเทพ,1007,ชุมทางบางซื่อ,Bangkok,Bang Sue Junction,TRUE
1,1,4,283,ธรรมดา,1001,กรุงเทพ,3047,บ้านพลูตาหลวง,Bangkok,Ban Plu Ta Luang,FALSE
1,1,5,285,ธรรมดา,1001,กรุงเทพ,3023,ชุมทางฉะเชิงเทรา,Bangkok,Chachoengsao Junction,FALSE
1,1,6,281,ธรรมดา,1001,กรุงเทพ,3075,กบินทร์บุรี,Bangkok,Kabin Buri,FALSE
1,1,7,367,ธรรมดา,1001,กรุงเทพ,3023,ชุมทางฉะเชิงเทรา,Bangkok,Chachoengsao Junction,FALSE
1,1,9,389,พิเศษชานเมือง,1001,กรุงเทพ,3023,ชุมทางฉะเชิงเทรา,Bangkok,Chachoengsao Junction,FALSE
1,1,11,277,ธรรมดา,1001,กรุงเทพ,3075,กบินทร์บุรี,Bangkok,Kabin Buri,FALSE
1,1,12,391,พิเศษชานเมือง,1001,กรุงเทพ,3023,ชุมทางฉะเชิงเทรา,Bangkok,Chachoengsao Junction,FALSE
1,1,13,383,ธรรมดา,1001,กรุงเทพ,3023,ชุมทางฉะเชิงเทรา,Bangkok,Chachoengsao Junction,FALSE
1,1,14,371,ธรรมดา,1001,กรุงเทพ,3066,ปราจีนบุรี,Bangkok,Prachin Buri,FALSE
1,1,15,381,ธรรมดา,1001,กรุงเทพ,3023,ชุมทางฉะเชิงเทรา,Bangkok,Chachoengsao Junction,FALSE
