year name gold host
1959 Thailand 35 y
1959 Myanmar 11 n
1959 Malaysia 8 n
1959 Singapore 8 n
1959 Vietnam 5 n
1959 Laos 0 n
1961 Thailand 21 n
1961 Myanmar 35 y
1961 Malaysia 16 n
1961 Singapore 4 n
1961 Vietnam 9 n
1961 Cambodia 1 n
1961 Laos 0 n
1965 Thailand 38 n
1965 Myanmar 18 n
1965 Malaysia 33 y
1965 Singapore 26 n
1965 Vietnam 5 n
1965 Cambodia 15 n
1965 Laos 0 n
1967 Thailand 77 y
1967 Myanmar 11 n
1967 Malaysia 23 n
1967 Singapore 28 n
1967 Vietnam 6 n
1967 Laos 0 n
1969 Thailand 32 n
1969 Myanmar 57 y
1969 Malaysia 16 n
1969 Singapore 31 n
1969 Vietnam 9 n
1969 Laos 0 n
1971 Thailand 44 n
1971 Myanmar 20 n
1971 Malaysia 41 y
1971 Singapore 32 n
1971 Cambodia 17 n
1971 Vietnam 3 n
1971 Laos 0 n
1973 Thailand 47 n
1973 Myanmar 28 n
1973 Malaysia 30 n
1973 Singapore 45 y
1973 Cambodia 9 n
1973 Vietnam 2 n
1973 Laos 0 n
1975 Thailand 80 y
1975 Myanmar 28 n
1975 Malaysia 16 n
1975 Singapore 38 n
1977 Malaysia 21 y
1977 Thailand 37 n
1977 Singapore 14 n
1977 Indonesia 62 n
1977 Philippines 31 n
1977 Myanmar 25 n
1977 Brunei 0 n
1979 Malaysia 19 n
1979 Thailand 50 n
1979 Singapore 16 n
1979 Indonesia 92 y
1979 Philippines 24 n
1979 Myanmar 26 n
1979 Brunei 0 n
1981 Malaysia 16 n
1981 Thailand 62 n
1981 Singapore 12 n
1981 Indonesia 85 n
1981 Philippines 55 y
1981 Myanmar 15 n
1981 Brunei 0 n
1983 Malaysia 16 n
1983 Philippines 49 n
1983 Thailand 49 n
1983 Singapore 38 y
1983 Indonesia 64 n
1983 Myanmar 18 n
1983 Brunei 0 n
1983 Cambodia 0 n
1985 Malaysia 26 n
1985 Philippines 43 n
1985 Thailand 92 y
1985 Singapore 16 n
1985 Indonesia 62 n
1985 Myanmar 13 n
1985 Brunei 0 n
1985 Cambodia 0 n
1987 Malaysia 35 n
1987 Philippines 59 n
1987 Thailand 63 n
1987 Singapore 19 n
1987 Indonesia 183 y
1987 Myanmar 13 n
1987 Brunei 1 n
1987 Cambodia 0 n
1989 Indonesia 102 n
1989 Malaysia 67 y
1989 Thailand 62 n
1989 Singapore 32 n
1989 Philippines 26 n
1989 Myanmar 10 n
1989 Vietnam 3 n
1989 Brunei 1 n
1989 Laos 0 n
1991 Indonesia 92 n
1991 Malaysia 36 n
1991 Thailand 72 n
1991 Singapore 18 n
